Review,hasil_akhir,Sentimen
"sangat, bagus",sangat bagus,positif
"permainan nya sangat memanjakan mata dari grafik yang sudah sangat improve dari 1.1 sampai 2.2 sangat improve grafik, world building, dan juga penambahan Rtx On ini sangat hebat, dan Juga Banyak QoL yang selalu pembaruan, benar benar Depeloper Yang sangat Mendengar dan menyenangkan Player nya, Saya sangat suka dengan pertempuran yang seperti sekira dan eldenring Ini sudah sangat bagus mungkin kedepannya Harus lebih konsisten lagi dan jangan melenceng dari tujuan kata kata Solon Lee. Approved Kuro permainan,I Love",main nya sangat manja mata grafik sangat tingkat sangat tingkat grafik world building tambah rtx on sangat hebat banyak qol selalu baru benar benar depeloper sangat dengar senang main nya sangat suka tempur sekira eldenring sangat bagus mungkin depan lebih konsisten jangan lenceng tuju kata kata solon lee approved kuro games main i cinta,positif
"permainannya keseluruhan udah bagus, hanya saja tidak ada bahasa Indonesia. jadi(TOLONG DEV TAMBAHKAN BAHASA INDONESIA)",main seluruh sudah bagus bahasa indonesia jadi kembang tambah bahasa indonesia,positif
kuro klo bisa di kasih bahasa Indonesia juga biar yg orang Indonesia yg gak bisa bahasa Inggris makin bisa mahamin cerita permainan nya,kuro games kalau kasih bahasa indonesia biar yang orang indonesia yang tidak bahasa inggris makin mahamin cerita main nya,negatif
Gweh suka,gweh suka,positif
sangat gg permainan yah,sangat gg main yah,positif
keseluruhan dari permainannya bagus tapi sayangnya permainan ini tidak mendukung BHS Indonesia yg membuat beberapa pemain tidak bisa menikmati cerita dari permainan ini andaikan pengadaan transkripsi Indonesia bisa lebih cepat saya mungkin akan memberikan 5 star,seluruh main bagus sayang main dukung bahasa indonesia yang buat beberapa main nikmat cerita main andai ada transkripsi indonesia lebih cepat mungkin beri star,negatif
sipp...,sip,positif
"pengalaman bermain permainan ini sangat seru, desain karakter juga bagus bagus dengan world building yg memukau tapi tolong tambahkan transkripsi bahasa Indonesia karena menurut saya pasar permainan ini di Indonesia juga lumayan ramai",alam main main sangat seru desain karakter bagus bagus world building yang pukau tambah transkripsi bahasa indonesia pasar main indonesia lumayan ramai,positif
permainan nya seru ceritanya tidak membosankan,main nya seru cerita bosan,positif
"permainan ini sangat improve banget, gerakan karakternya bervariasi apalagi di misi sekarang yang Cantarella nyuruh Rover untuk minum teh, itu kayak bagus banget ngga kaku lagi. Gachaku juga wangy terus, keknya gw dah ditakdirkan untuk memiliki karakter cewek limited soalnya ngga ada satupun cowok limited yang kupunya (ada sih Lingyang sama Calcharo tapi mereka standard). Tapi, gpp soalnya karakter limited ini berguna semua. Pokoknya the best deh nih permainan, mendengarkan pemain",main sangat tingkat banget gera karakter variasi misi sekarang cantarella nyuruh rover minum teh seperti bagus banget tidak kaku gachaku wangy terus sepertiya saya sudah takdir milik karakter cewek limited soal tidak satu cowok limited punya sih lingyang sama calcharo standard tidak apa soal karakter limited guna semua pokok the baik deh ini main dengar main,positif
permainan nya bagus dan seru,main nya bagus seru,positif
"permainan bagus,alur menarik,plot luar biasa,permainan asik mungkin tambah bahasa agar pemain lebih paham soal alur cerita dan tidak perlu menterjemahkan untuk kedepannya 👍 dan yang paling bagus adalah fan service yang bagus bisa menarik para pemain baru tentu saja absolute cinema 🖐️😫🖐️",main bagus alur tarik plot luar biasa main asyik mungkin tambah bahasa main lebih paham soal alur cerita perlu terjemah depan paling bagus fan service bagus tarik main baru absolute cema,positif
"keseluruhan permainannya bintang 5 (Menurut saya) Dari segi grafik sudah sangat halus dan HD (Tergantung perangkat). Dari segi cerita, kuro sangat memberikan cerita yang tidak membosankan,pemandangan yang sangat bagus dan ada banyak misi lainnya untuk dikerjakan. #Saran kalo bisa ditambahkan transkripsi Indonesia",seluruh main bintang segi grafik sangat halus hd gantung perangkat segi cerita kuro games sangat beri cerita bosan pandang sangat bagus banyak misi lain kerja saran kalaupun tambah transkripsi indonesia,positif
"permainan epik cuma kebanyakan ngobrol di misi utama. masih pemula tp udah suka ma ni permainan. minus nya cuma di ngobrol nya bikin auto text aja biar nggk cape tapping berkali2. contoh di besutan permainan netease Harry porter, JD nggk sibuk tapping terus. sama tombol nya tiap gerakan awal kedepan selalu di awali badan muter dulu, tolong itu di hilangin gerakan yg roll balik arah tiap awal mau gerakan badan heronya. dah tu aja, makasih min.",main epik hanya banyak ngobrol misi utama mula tapi sudah suka sama ini main minus nya hanya ngobrol nya bikin auto text saja biar tidak capek tapping kali contoh besut main netease harry porter jadi tidak sibuk tapping terus sama tombol nya tiap gera awal depan selalu awal badan mutar dulu hilangin gera yang roll balik arah tiap awal mau gera badan hero sudah itu saja makasih minimal,positif
Keren..,keren,positif
saran saya tolong berikan fitur hapus cerita yang telah lalu agar penyimpanannya tidak terlalu berat.,saran ikan fitur hapus cerita lalu simpan terlalu berat,negatif
butuh bahasa indonesia,butuh bahasa indonesia,negatif
tolong di perbaiki di perangkat saya sering keluar sendiri,baik perangkat sering keluar sendiri,negatif
"untuk permainan udh bagus sih yh, cerita nya juga bagus banget tpi yh gk ada opsi bahasa Indonesia yh bagi orang-orang yang tidak terlalu bisa bahasa Inggris bakalan gk nyaman sih menurut ku yh mw bagaimana lgi untuk pengembang saranku tambahin bahasa Indonesia dong hehe untuk keseluruhan permainan nya udh bagus, untuk sekarang blm nemu bug atau hal hal yang kurang mengenakkan saat bermain 😮",main sudah bagus sih yh cerita nya bagus banget tapi yh tidak opsi bahasa indonesia yh orang orang terlalu bahasa inggris bakal tidak nyaman sih ku yh mau bagaimana lagi kembang saran tambah bahasa indonesia dong hehe seluruh main nya sudah bagus sekarang belum nemu bug kurang enak main,positif
"pembaruan 2.2 gila , masterpiece, crazy adegan potongan, crazi lore , terima kasih kuro, tolong pertahankan kualitas cerita adegan potongan. ini permainan gacha terbaik sih menurutku",baru gila masterpiece crazy adegan potong crazi lore terima kasih kuro games tahan kualitas cerita adegan potong main gacha baik sih turut,positif
"tolong tolong kalau pembaruan itu jangan besar besar sampe 17 GB kasian orang yg gapunya wifi harus nunggu Berjam jam,gw pikir pembaruan nya cuman 2gb lah ini 17gb? kek unduh ulang lagi itumah",kalau baru jangan besar besar sampai gb kasihan orang yang gapunya wifi nunggu jam jam saya pikir baru nya cuman gb lah gb seperti unduh ulang itumah,negatif
Ada dua permintaan saya 1. Tolong di optimalkan lagi bagaimana caranya lancar di PC/HP Low perangkat 2.Tambahkan bahasa Indonesia di ceritanya,minta optimal bagaimana cara lancar pc ponsel low perangkat tambah bahasa indonesia cerita,negatif
permainan nya sangat bagus mungkin hanya kurang bahasa Indonesia aja👍👍👍,main nya sangat bagus mungkin kurang bahasa indonesia saja,positif
permainan ramah,main ramah,positif
pemain casual tersiksa main permainan jni😹,main casual siksa main main jni,negatif
"lu permainan sangat bagus o, haiya pengembang hitam emang yang terbaik laa, tapi tolong nanti a adain Collab minimal sama DMC la Kuro, oe punya banyak minat ma",kamu main sangat bagus oleh haiya kembang hitam memang baik laa a adain collab minimal sama dmc la kuro games oe punya banyak minat sama,positif
"Apalah daya HP androidku spek medium. grafik rata kiri aja lag berat. Terpaksa pensiun gak main lagi. mau upgrade HP, tapi ada keperluan yang lebih penting. 😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨",apa daya ponsel androidku spek medium grafik rata kiri saja lag berat paksa pensiun tidak main mau upgrade ponsel perlu lebih penting,negatif
cerita yang sangat bagus👍👍,cerita sangat bagus,positif
permainan nya sudah sangat bagus. tetapi saat size pembaruan terlalu besar,main nya sangat bagus size baru terlalu besar,negatif
permainan yg tidak kikir,main yang kikir,positif
"msh gk bisa stabil fpsnya kya pas awal rilis, d tmbh ni permainan bikin hp kerja keras dan gmpang panas. wjib pake pendingin klo gk smbil nyanding kipas spya hp gk kpanasan main ni permainan lama"". soalnya klo hp panas, fps lngsng anjlok dan bikin permainannya gk nyaman buat d mainkan. tolong d peringan lagi permainannya, spya ttp nyaman d mainkan d hp.",masih tidak stabil fpsnya seperti pas awal rilis di tambah ini main bikin ponsel kerja keras mudah panas wjib pakai dingin kalau tidak smbil nyanding kipas supaya ponsel tidak kpanasan main ini main lama soal kalau ponsel panas bingkai langsung anjlok bikin main tidak nyaman buat di main di pering main supaya tetap nyaman di main di ponsel,negatif
tolong Kuro Games 🥲 rerun bannernya carlotta dongg 🥲🥲🥲🥲,kuro games main rerun bannernya carlotta dongg,negatif
"Ngga pengalamanect banget feedback ku didengarkan pengembang, adegan potongan juga semakin bagus. Solon Leveling 🔥",tidak pengalamanect banget feedback ku dengar kembang adegan potong makin bagus solon leveling,positif
PAS DI DONLOT LAMBATTTTT TPI AKU SUKAAAA,pas donlot lambattttt tapi saya sukaaaa,negatif
"sangat baik, dikasih low pity senjata walau karakter kalah rate off mulu ntah kenapa susah banget menang rate off disini",sangat baik kasih low pity senjata karakter kalah persentase off terus entah susah banget menang persentase off sini,negatif
"ini permainan semakin hari semakin berkembang jadi bagus, saran untuk pengoptimalan performa permainan tolong di tingkatkan agar tidak penurunan bingkai dan untuk anti aliasing tolong jangan dibuat blurr jadi tidak enak bermain jika anti aliasing blurr, semangat kuro!! :)",main makin hari makin kembang jadi bagus saran optimal performa main tingkat turun bingkai anti aliasing jangan buat blurr jadi enak main anti aliasing blurr semangat kuro games,positif
"wow aku mendapatkan Cantarella di 1 spin, OMG permainan pembaik, lebih dari permainan sebelah yang namanya ada impact-impactnya. Kalian wajib unduh permainan ini, permainan yang sangat sepadan untuk dimainkan. Grafik mantap, cerita bagus, tidak pelit dan memperhatikan pemain👍👍",wow saya dapat cantarella spin omg main baik lebih main belah nama impact impactnya kalian wajib unduh main main sangat padan main grafik mantap cerita bagus pelit perhati main,positif
permainan nya sangat seru dan menantang.serunya karna ad changli sih hehe,main nya sangat seru tantang seru karena ada changli sih hehe,positif
sebenernya ini permainan lancar aja pas eksplorasi atau bertarung masalah utamanya tuh mau hp lu menengah/high pasti tetep bakal panas. wajib pake cooler,sebenernya main lancar saja pas eksplorasi tarung masalah utama itu mau ponsel kamu tengah high tetap bakal panas wajib pakai cooler,negatif
permainan no. 1 wajib di mainkan permainan ini.. pengembang baik,main no wajib main main kembang baik,positif
permainan nya bagus tapi hp ku sudah enggak kuat memainkannya 😢,main nya bagus ponsel ku tidak kuat main,positif
hoki banget,hoki banget,positif
lebih mendukung ke hp gw,lebih dukung ponsel saya,negatif
luar biasa permainan openworld terbaik daripada genshin,luar biasa main openworld baik genshin,positif
tambahin bahasa Indonesia udh itu aja,tambah bahasa indonesia sudah saja,negatif
baik,baik,positif
keren gk kayak permainan sebelah xixixi,keren tidak seperti main belah xixixi,positif
bolehlah,boleh,positif
tolong kasih bahasa Indonesia dong,kasih bahasa indonesia dong,negatif
bisa AE lu permainan,ae kamu main,positif
mantapnyo,mantapnyo,positif
semua nya udah bagus banget si permainannya juga tertata rapi cuma saran ku tambahin transkripsi bahasa Indonesia karena saya Inggris isu (gak bisa bahasa Inggris),semua nya sudah bagus banget si main tata rapi hanya saran ku tambah transkripsi bahasa indonesia inggris isu tidak bahasa inggris,positif
Terima kasih wuwa telah menciptakan permainan terbaik sepanjang masa ini. Absolute Cinema🙇🏻,terima kasih wuthering waves cipta main baik panjang masa absolute cema,positif
bener bener improve baik dari segi cerita dan optimalisasi. ni permainan juga bener bener dengerin feedback dari pemain nya dan ga pelit tentang hadiah yg bikin makin betah buat mainin permainan nya,benar benar tingkat baik segi cerita optimalisasi ini main benar benar dengar feedback main nya tidak pelit hadiah yang bikin makin betah buat main main nya,positif
Semoga Ada bahasa Indonesia,moga bahasa indonesia,negatif
"Secara garis besar, ini adalah permainan seluler terbaik yang pernah saya mainkan. salah satu hal yg saya suka adalah permainan pertempuran yang fleksibel, dan ada satu hal yang mengganggu, untuk hasil screenshot in-permainan tidak dapat ditemukan di manapun, saya khawatir hasil screenshot tersimpan di file data android yang tidak dapat diakses untuk android 12 dan setelahnya sehingga hasil screenshot seperti tidak tersimpan. Masalah ini telah diperbaiki, menunjukkan dedikasi pengembang yang tinggi untuk pemain.",garis besar main seluler baik pernah main salah satu yang suka main tempur fleksibel satu ganggu hasil screenshot in main temu mana khawatir hasil screenshot simpan file data android akses android telah hasil screenshot simpan masalah baik tunjuk dedikasi kembang tinggi main,positif
sangat seru,sangat seru,positif
permainan nya seru dan ga membosankan,main nya seru tidak bosan,positif
"permainannya udah ok, semuanya bagiku udah ok termasuk cerita nya..tp maap nih 🙏🏻minimal di beri transkripsi indo lah ya biar lebih jelas gitu..aku kan minus bahasa inggris",main sudah semua bagi sudah masuk cerita nya tapi maaf ini minimal beri transkripsi indonesia lah biar lebih jelas begitu saya kan minus bahasa inggris,positif
"masih sering ngebug pas misi, paling parahnya gabisa di cancel jadi pas masuk tetep di pemandangan tersebut, parah sih udah jauh banget malah terjebak di misi mourning aix pas terbang gabisa shooting musuh",sering ngebug pas misi paling parah tidak bisa cancel jadi pas masuk tetap pandang sebut parah sih sudah jauh banget malah jebak misi mourning aix pas terbang tidak bisa shooting musuh,negatif
bagus bet nih permainan waifunya cantik coy cerita yg bagus rate lima boss,bagus banget ini main waifunya cantik coy cerita yang bagus persentase lima boss,positif
permainan terbaik yang pernah saya main di hp... walaupun gacha nya susah tapi masih terbaik mantap.,main baik pernah main ponsel walaupun gacha nya susah baik mantap,positif
"akan lebih baik bila ada opsi pilihan bahasa Indonesia, akan lebih mudah bagi pemain dari Indonesia untuk bisa mengikuti jalan cerita permainan ini",lebih baik bila opsi pilih bahasa indonesia lebih mudah main indonesia ikut jalan cerita main,negatif
Tolong adain bahasa Indonesia nya dong tolong 🙏,adain bahasa indonesia nya dong,negatif
sumpah char nya pada mantep,sumpah karakter nya mantep,positif
permainan yang sangat Bagus. (overated),main sangat bagus overated,positif
permainan tolol,main bodoh,negatif
terima kasih kuro sudah menciptakan cewe secantik imut phoebe🥰,terima kasih kuro games cipta cewe cantik imut phoebe,positif
permainan yg sangat bagus ga kikir tapi tolong dong tambahin bahasa indo,main yang sangat bagus tidak kikir dong tambah bahasa indonesia,positif
"niat mau main lagi tapi akun pertama dari awal wuwa rilis hilang, udah nyoba login pakai semua email dan akun X tapi tetap di suruh bikin akun baru. kecewa banget, udah cape"" main malah akunnya di hapus.",niat mau main akun pertama awal wuthering waves rilis hilang sudah nyoba masuk pakai semua email akun kali tetap suruh bikin akun baru kecewa banget sudah capek main malah akun hapus,negatif
permainan nya bagus pertarungan nya juga keren semoga di rilis bhs INDONESIA NYA AGAR PLAYER SEPERTI SAYA BISA MEMAHAMI JALAN CERITANYA,main nya bagus tarung nya keren moga rilis bahasa indonesia nya main paham jalan cerita,negatif
"BRANT KUU. KENAPA HARUS KALAH RATE OFF. why kuro, i've been waiting for long. but.. Kenapa aku dapat ENCORE daripada BRANT😭😭. Masi sakit rasanya kuro. kalah 50/50 di karakter yang sudah aku tunggu.",brant kuu kalah persentase off mengapa kuro games i ve been waiting for long but saya encore brant masih sakit rasa kuro games kalah karakter saya tunggu,negatif
tiap pembaruan unduh ulang yee laah,tiap baru unduh ulang yee laah,negatif
bagus banget ini permainan nya stori nya seru karakternya bagus semua nya lah..,bagus banget main nya stori nya seru karakter bagus semua nya lah,positif
terimakasih kuro permainan karena sudah menyediakan versi Android 👍👍🥰,terima kasih kuro games main sedia versi android,positif
"untuk keseluruhan permainannya sudah bagus dan hidup juga sekelilingnya/world nya, ya cuma kurang aja mungkin karna ketahan perangkat yang kentak jadinya aga kurang gmn gitu.",seluruh main bagus hidup keliling world nya hanya kurang saja mungkin karena tahan perangkat kentak jadi aja kurang gimana begitu,positif
"Secara keseluruhan permainan ini bagus banget dari segi grafik,animasi,",seluruh main bagus banget segi grafik animasi,positif
rate off teros permainan elek,persentase off ros main elek,negatif
bagus sekali permainannya,bagus sekali main,positif
"Untuk sementara saya beri rating di B-3 dulu. dikarenakan masih sering tutup paksa ketika sedang di dalam permainan ataupun saat pemuatan permainan. semoga cepat diperbaiki untuk kedepannya, fyi saya memakai perangkat samsung A55.",beri rating b dulu karena sering tutup paksa sedang main atau muat main moga cepat baik depan fyi pakai perangkat samsung a,negatif
permainan keren,main keren,positif
"kalau bisa, echo yang level 0 juga bisa buat naikin level echo",kalau echo level buat naik level echo,negatif
sungguh luarbiasa perkembangan ini permainan sungguh membuat ku kagumi ✋🥶🤚,sungguh luarbiasa kembang main sungguh buat ku kagum,positif
salah satu permainan yang memberikan permainan permainan yang sangat asik dan menantang. kalo bisa lebih bnyakin konten lad permainan mingguan nya kurang astrite ni 😭,salah satu main beri main main sangat asyik tantang kalaupun lebih bnyakin konten lad main minggu nya kurang astrite ini,positif
permainan dan cerita serta visualnya sangat bagus,main cerita visual sangat bagus,positif
anime udh bagus menarik karakternya klo bisa ad bahasa indo .n.misi.suka bingung restart atau cancel tolong d permudah bahasa n misi ya,anime sudah bagus tarik karakter kalau ada bahasa indonesia dan misi suka bingung restart cancel di mudah bahasa dan misi,negatif
terbaik,baik,positif
bagus banget grafik oke + bisa skip yapping ga kaya sebelah,bagus banget grafik oke skip yapping tidak seperti belah,positif
bagus sih cuma unduh nya aja lama banget bisa GK pengembang kecilkan dikit saat mengunduh data nya?,bagus sih hanya unduh nya saja lama banget tidak kembang kecil dikit unduh data nya,negatif
"sangat bagus, grafiknya memanjakan mata😁😁🥰🥰🥰",sangat bagus grafik manja mata,positif
seru permainannya,seru main,positif
keren,keren,positif
mantap,mantap,positif
dari segi permainan sih udah bagus. cuma yg tolong dong setiap pembaruan jangan ngunduh data ulang semua data.,segi main sih sudah bagus hanya yang dong baru jangan ngunduh data ulang semua data,positif
"akun gua ilang. uda capek awal rilis main buka map, cari monster. eh mau main lagi ilang, kaga bener ni permainan",akun saya ilang sudah capek awal rilis main buka map cari monster eh mau main ilang tidak benar ini main,negatif
"jujur saja permainan nya bagus , TAPI setiap lag pasti fps nya turun mana penundaan mulu sinyal gw mainin permainan lain lancar aja tolong kuro ini di fix",jujur main nya bagus lag bingkai nya turun mana tunda terus sinyal saya main main lancar saja kuro games fix,negatif
permainannya bagus dan gak kikir kek permainan sebalah😑,main bagus tidak kikir seperti main seba,positif
"Untuk permainan nya ok tolong optimalin lagi,ada beberapa yang lag,mantap s,,,,,, pembaruan nya gede banget kek pasang ulang ajir nyesek buat nya pake data mana lama tolong pembaruan nya jangan gede gede :v",main nya optimalin beberapa lag mantap tuju baru nya besar banget seperti pasang ulang ajir nyesek buat nya pakai data mana lama baru nya jangan besar besar v,negatif
lebih bagus ini dari pada permainan sebelah,lebih bagus main belah,positif
keren bangetttttttttt (walaupun dihp aku penurunan bingkai mainnya 😭),keren bangetttttttttt walaupun dihp saya turun bingkai main,positif
permainannya bagus,main bagus,positif
baek anjir bru login lgsg dapet b5,baik anjir bru masuk langsung dapat b,positif
ini permainan nya gimana ya kok gak bisa login terus sewaktu di dalam permainan nya sering terputus sama server padahal jaringannya bagus buat main permainan lain kayak genshin jaringan masih stabil tapi pas mau main permainan ini login aja kok nggak mampu,main nya bagaimana kok tidak masuk terus waktu main nya sering putus sama server padahal jaring bagus buat main main seperti genshin jaring stabil pas mau main main masuk saja kok mampu,negatif
"permainan bagus, banyak waifu, dan pengembang ga pelit",main bagus banyak waifu kembang tidak pelit,positif
Gasssssss Cartetya aku datang,gasssssss cartetya saya datang,positif
permainannya seru help pengembang untuk lebih banyak hadiah gratisnya,main seru help kembang lebih banyak hadiah gratis,positif
"Absolute Cinema✋😌🤚, dah itu aja",absolute cema sudah saja,positif
"Sekarang sudah dipembaruan jadi lebih lancar, meskipun voicenya harus diubah ke jepang",sekarang baru jadi lebih lancar meski voicenya ubah jepang,positif
2 kata untuk permainan ini : absolute cinema 🔥🔥🔥✋😎🤚,kata main absolute cema,positif
kikir permainan,kikir main,negatif
"bug disaat misi ngelawan burung di udara,gabisa nembak,ini harus diapain,gabisa keluar juga dari misi,tolong bantuannya,Air to air pertempuran lawan mourning aix lamenting shadow",bug saat misi lawan burung udara tidak bisa nembak apa tidak bisa keluar misi bantu air to air tempur lawan mourning aix lamenting shadow,negatif
"haish kuro 2 akun yang sudah tertaut dari awal pre register, pas acara web hilang semua akunnya, comeback habis vakum 3 bulan malah mulai dari awal lagi",haish kuro games akun taut awal pre register pas acara web hilang semua akun comeback habis vakum bulan malah mulai awal,negatif
keren wak,keren wak,positif
"permainan nya bagus baik dari gampermainan, cerita, grafik dan fitur dalam permainan, aku kasih bintang 5 karena sangat memuaskan , minus tidak ada bahasa Indonesia yang membuat pemain kesulitan dalam memahami cerita dalam permainan , mohon untuk pengembang agar menambahkan bahasa Indonesia di updet selanjutnya Terima kasih",main nya bagus baik gampermainan cerita grafik fitur main saya kasih bintang sangat muas minus bahasa indonesia buat main sulit paham cerita main mohon kembang tambah bahasa indonesia updet lanjut terima kasih,positif
mantap,mantap,positif
sayang fandom,sayang fandom,positif
"apakah bisa di optimalkan lebih lanjut lagi?, terkadang masih sering nge tutup paksa di dalam permainan nya dan itu sangat mengganggu. Mohon bantuannya pengembang demi kenyamanan para pemain yg lainnya juga",optimal lebih lanjut terkadang sering nge tutup paksa main nya sangat ganggu mohon bantu kembang nyaman main yang lain,negatif
baguss,baguss,positif
unduh aja pasti nanti ketagihan,unduh saja tagih,positif
Kuro Games is the best!!! Sangat mencintai pemain nya pokok nya terbaik!!!,kuro games main is the baik sangat cinta main nya pokok nya baik,positif
permainan BAIK,main baik,positif
permainan nya bagus + HD+ Tapi tolong tambahkan transkripsi Indonesia 👌🏻 Biar kami pemain Indonesia bisa paham apa yang diucapkan oleh karakter karakter dalam permainan,main nya bagus hd tambah transkripsi indonesia biar main indonesia paham apa ucap karakter karakter main,positif
agak penurunan bingkai dikit 😅,turun bingkai dikit,negatif
great quality nya geloo,great quality nya geloo,positif
"sesudah pembaruan unduh data ulang lagi 17GB, langsung saya uninstal.",baru unduh data ulang gb langsung uninstal,negatif
permainan nya bagus bangett asli grafik oke cerita cakep cwe nya cakep saran saya tolong masukan transkripsi tittle Indonesia biar yang engga paham english bisa paham sama jalur cerita,main nya bagus banget asli grafik oke cerita cakep cwe nya cakep saran masuk transkripsi tittle indonesia biar engga paham english paham sama jalur cerita,positif
Sangat baguss,sangat baguss,positif
belum unduh data sih tapi bintang 5 lah karakter nya beh,unduh data sih bintang lah karakter nya beh,positif
Gila sih kuro bikin cerita bikin tegang dan animasi yang begitu bagusnya,gila sih kuro games bikin cerita bikin tegang animasi bagus,positif
permainan baik bansos nya banyak 😋,main baik bansos nya banyak,positif
bagus saya sangat suka,bagus sangat suka,positif
"kenapa boss baru 2.3 mati, aku kecewa berat 😡😡 gamau main lagi",boss baru mati saya kecewa berat tidak mau main,negatif
sangat bagus,sangat bagus,positif
"pembaruan kali ini benar benar absolute cinema, beda jauh sma versi sebelumnya dari segi cerita, musik, desain char, tempatnya semuanya sempurnao. Keep it up kurogames🔥 edit: permainan ini terlalu berat untuk spek low end, jdi minimal hp ram 8 chip snapdragon/ setara",baru kali benar benar absolute cema beda jauh sama versi belum segi cerita musik desain karakter tempat semua sempurnao keep it up kurogames edit main terlalu berat spek low end jadi minimal ponsel ram chip snapdragon tara,positif
tolong kasih transkripsi bahasa Indonesia kalo bisa sistem renderingnya jangan terlalu berat coba lebih ramah ke hp ram 6 soalnya hampir tiap main fps jatuh padahal genshin lancar2 aja atau kasih mode pencocokan ke perangkat yg GK kuat grafik bagus2,kasih transkripsi bahasa indonesia kalaupun sistem renderingnya jangan terlalu berat coba lebih ramah ponsel ram soal hampir tiap main bingkai jatuh padahal genshin lancar saja kasih mode cocok perangkat yang tidak kuat grafik bagus,negatif
"butuh bahasa Indonesia,buat text nya saja tanpa suara .....",butuh bahasa indonesia buat text nya suara,negatif
"bagus bgt, tp terus dioptimalkan ya supaya gak terlalu berat main di hp",bagus begitu tapi terus optimal tidak terlalu berat main ponsel,positif
penundaan parah 🙏🏻,tunda parah,negatif
permainan BAIK,main baik,positif
mantap btw kapan rerun changli kuro,mantap ngomong-ngomong kapan rerun changli kuro games,positif
gila sih di pembaruan malah nimpa unduh ulang . jadi sampah doang,gila sih baru malah nimpa unduh ulang jadi sampah aja,negatif
keren,keren,positif
reken banget permainannya,reken banget main,positif
"HELL I LOVE THIS permainan. pengembangnya beneran take care dan perhatian ke pemain. permainan nya satisfying meski kadang distracting, pengalamanloring dan bertani dipermudah, nguli item buat diexchange gak sesulit itu, bahkan sering ada bonusan. Animasi, grafik, desain karakter, yang 2d mantep yang 3d lebih mantep, solid semuanya. Environment di desain dengan baik dan cantik, beneran menawan untuk dilihat sampai hampir bisa foto di setiap spot. Minusnya ya laggy, gak bisa rata kanan. cerita got better so 4.5",hell i cinta this main kembang benar take peduli perhati main main nya satisfying meski kadang distracting pengalamanloring tan mudah nguli hitam buat diexchange tidak sulit bahkan sering bonus animasi grafik desain karakter di mantep di lebih mantep solid semua environment desain baik cantik benar tawan lihat hampir foto spot minus laggy tidak rata kanan cerita got better so,positif
"memang kuro pengembang hebat, cerita ny keren, karakter nya juga pada cantik memang permainan bagus dah ini bagus kuro permainan hehe",memang kuro games kembang hebat cerita nya keren karakter nya cantik memang main bagus sudah bagus kuro games main hehe,positif
"Tolong perbaiki bug blackscreen ketika di proces log in, saya sudah coba di hp yang lain yang divicenya lebih lemah dari perangkat yang kena bug blackscreen, tapi divices yang lebih lemah bisa log in dengan lancar",baik bug blackscreen proces log in coba ponsel divicenya lebih lemah perangkat kena bug blackscreen divices lebih lemah log in lancar,negatif
apaan coba setiap login disuruh nunggu compiling shader mana lama banget,apa coba masuk suruh nunggu compiling shader mana lama banget,negatif
"pembaruan pembaruan aja gak usah pake unduh ulang, lama lagi jadinya",baru baru saja tidak perlu pakai unduh ulang lama jadi,negatif
"permainan ny bagus cerita juga bagus cuman ad 1 kekyurangan.....kekurangan ny tidak ad bhsa indo,krna ad juga yg tidak bisa bhs inggris,klo bisa pengembang mohon di tambah bhsa indonesia nya..",main nya bagus cerita bagus cuman ada kekyurangan kurang nya ada bhsa indonesia karena ada yang bahasa inggris kalau kembang mohon tambah bhsa indonesia nya,positif
mantap lah pokoknya full waifu,mantap lah pokok full waifu,positif
minus bahasa Indonesia,minus bahasa indonesia,negatif
"singkat saja lu gak ramah ke pemain baru kocak, baru main udah kalah rate off dua kali gak ngerti gw mending permainan sebelah 😡",singkat kamu tidak ramah main baru kocak baru main sudah kalah persentase off kali tidak ngerti saya mending main belah,negatif
Grafiknya bagus.. apalagi scane scane nya mntp bgt..,grafik bagus scane scane nya mantap begitu,positif
permainan kualitas bagus,main kualitas bagus,positif
"setelah di pembaruan, waktu masuk permainan unduh data seperti baru pasang permainan 🗿",baru waktu masuk main unduh data baru pasang main,negatif
"tolong untuk grafik rata kiri agar menjadi halus atau poly tidak pecah grafiknya, dan tolong tambahkan transkripsi Indonesia karena ini sudah cocok ditambah fitur skip mantapp",grafik rata kiri jadi halus poly pecah grafik tambah transkripsi indonesia cocok tambah fitur skip mantapp,negatif
"permainan nya udah bagus tapi tolong KA ada in yang terjemahan bahasa Indonesia nya,,,soalnya bahasa inggris ku jelek banget,,kalo ada b.indonesianya lebih bagus biar enak nikmati alur nya",main nya sudah bagus ka in terjemah bahasa indonesia nya soal bahasa inggris ku jelek banget kalaupun b indonesia lebih bagus biar enak nikmat alur nya,negatif
"inilah permainan sesuai yang aku mau, dunia terbuka kayak genshin, namun file data lebih kecil, jadi aku mainnya lebih nyaman",ini main sesuai saya mau dunia buka seperti genshin file data lebih kecil jadi saya main lebih nyaman,positif
permainan nya sanagat bagus,main nya sanagat bagus,positif
sangat bagus,sangat bagus,positif
"oke lah, cuma harus pengoptimalan aja biar gak penurunan bingkai, padahal hp saya udah memenuhi minimum",oke lah hanya optimal saja biar tidak turun bingkai padahal ponsel sudah penuh minimum,positif
"tolong setelah pembaruan tidak perlu unduh ulang data lagi,terima kasih",baru perlu unduh ulang data terima kasih,negatif
